Player,Country,Batting_Style,Bowling_Style
Alan Mullally,England,Right-hand bat,Left-arm fast-medium
Alan Oakman,England,Right-hand bat,Off-break
Alan Smith,England,Right-hand bat,Right-arm fast-medium
Alan Thomson,Australia,Right-hand bat,Right-arm fast-medium
Alan Turner,Australia,Left-hand bat,
Alan Ward,England,Right-hand bat,Right-arm fast
Alan Wells,England,Right-hand bat,Right-arm medium
Alan Wharton,England,Left-hand bat,Right-arm medium
Alasdair Evans,England,Right-hand bat,Right-arm medium-fast
Alastair Cook,England,Left-hand bat,Off-break
Alawi Shukri,United Arab Emirates,Left-hand bat,Off-break
Albert Hartkopf,Australia,Right-hand bat,Leg-break
Albert Hornby,England,Right-hand bat,"Right-arm, Left-arm"
Albert Knight,England,Right-hand bat,
Albert Padmore,Barbados,Right-hand bat,Off-break
Albert Powell,South Africa,Right-hand bat,Right-arm
Albert Relf,England,Right-hand bat,"Right-arm medium, Off-break"
Albert Rose-Innes,South Africa,Right-hand bat,Slow left-arm
Albert Trott,Australia,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Albert van der Merwe,South Africa,Right-hand bat,Off-break
Albert Ward,England,Right-hand bat,Right-arm slow
Albie Morkel,South Africa,Left-hand bat,Right-arm medium-fast
Alby Roberts,New Zealand,Right-hand bat,Right-arm medium
Alec Bannerman,Australia,Right-hand bat,Right-arm medium roundarm
Alec Bedser,England,Right-hand bat,Right-arm medium-fast
Alec Coxon,England,Right-hand bat,Right-arm medium-fast
Alec Davies,Pakistan,Right-hand bat,
Alec Hearne,England,Right-hand bat,Right-arm slow
Alec Hurwood,Australia,Right-hand bat,"Right-arm medium, Off-break"
Alec Stewart,England,Right-hand bat,Right-arm medium
Alester Maregwede,Zimbabwe,Right-hand bat,
Alex Cusack,Australia,Right-hand bat,Right-arm medium
Alex Doolan,Australia,Right-hand bat,Right-arm medium
Alex French,Hong Kong,Right-hand bat,Off-break
Alex Hales,England,Right-hand bat,Right-arm medium
Alex Kennedy,Scotland,Right-hand bat,Right-arm medium
Alex Loudon,England,Right-hand bat,Off-break
Alex Moir,New Zealand,Right-hand bat,Leg-break googly
Alex Obanda,Kenya,Right-hand bat,Right-arm medium-fast
Alex Tait,New Zealand,Right-hand bat,Right-arm medium
Alex Tudor,England,Right-hand bat,Right-arm fast
Alex Wharf,England,Right-hand bat,Right-arm medium-fast
Alexander Webbe,England,Right-hand bat,Right-arm fast
Alexei Kervezee,Namibia,Right-hand bat,Off-break
Alf Gover,England,Right-hand bat,Right-arm fast
Alf Hall,England,Left-hand bat,Left-arm fast-medium
Alfonso Thomas,South Africa,Right-hand bat,Right-arm fast-medium
Alfred Archer,England,Right-hand bat,
Alfred Binns,Jamaica,Right-hand bat,
Alfred Cooper,South Africa,Right-hand bat,Right-arm medium
Alfred Dipper,England,Right-hand bat,Right-arm medium
Alfred Luseno,Kenya,Right-hand bat,Right-arm medium
Alfred Lyttelton,England,Right-hand bat,Right arm underarm
Alfred Richards,South Africa,Right-hand bat,
Alfred Scott,Jamaica,Right-hand bat,Leg-break
Alfred Shaw,England,Right-hand bat,"Right-arm medium, Right-arm slow-medium"
Alfred Valentine,Jamaica,Right-hand bat,Slow left-arm
Algy Gehrs,Australia,Right-hand bat,Leg-break
Ali Asad,Pakistan,Right-hand bat,Right-arm fast-medium
Ali Bacher,South Africa,Right-hand bat,Leg-break
Ali Naqvi,Pakistan,Right-hand bat,Off-break
Ali Rizvi,Pakistan,Right-hand bat,Leg-break
Ali Shah,Zimbabwe,Left-hand bat,Right-arm medium
Alimuddin,India,Right-hand bat,Leg-break
Alistair Brown,England,Right-hand bat,Off-break
Alistair Campbell,Zimbabwe,Left-hand bat,Off-break
Allan Border,Australia,Left-hand bat,Slow left-arm
Allan Donald,South Africa,Right-hand bat,Right-arm fast
Allan Lamb,South Africa,Right-hand bat,Right-arm medium
Allan Rae,Jamaica,Left-hand bat,
Allan Steel,England,Right-hand bat,"Right-arm slow-medium, Right-arm fast-medium"
Allan Watkins,England,Left-hand bat,Left-arm medium-fast
Allen Hill,England,Right-hand bat,Right-arm fast roundarm
Allen Lissette,New Zealand,Right-hand bat,Slow left-arm
Alok Kapali,Bangladesh,Right-hand bat,Leg-break
Alpesh Vadher,Kenya,Right-hand bat,
Alphonso Roberts,St Vincent and the Grenadines,Right-hand bat,
Alvin Greenidge,Barbados,Right-hand bat,Right-arm medium
Alvin Kallicharran,Guyana,Left-hand bat,Off-break
Alviro Petersen,South Africa,Right-hand bat,Right-arm medium
Amal Silva,Sri Lanka,Left-hand bat,Off-break
Aman Ali,United Arab Emirates,Right-hand bat,Left-arm fast-medium
Amar Singh,India,Right-hand bat,Right-arm fast-medium
Amay Khurasiya,India,Left-hand bat,Slow left-arm
Ambar Roy,India,Left-hand bat,Right-arm medium
Ambati Rayudu,India,Right-hand bat,Off-break
Aminul Islam,Pakistan,Right-hand bat,Off-break
Amir Elahi,India,Right-hand bat,"Right-arm medium, Leg-break googly"
Amit Bhandari,India,Right-hand bat,Right-arm fast-medium
Amit Jaggernauth,Trinidad and Tobago,Left-hand bat,Off-break
Amit Mishra,India,Right-hand bat,Leg-break
Amjad Ali,Pakistan,Left-hand bat,Right-arm medium
Amjad Javed,United Arab Emirates,Right-hand bat,Right-arm medium
Amjad Khan,Denmark,Right-hand bat,Right-arm fast-medium
Anamul Haque,Bangladesh,Right-hand bat,
Anaru Kitchen,New Zealand,Right-hand bat,Slow left-arm
Andre Adams,New Zealand,Right-hand bat,Right-arm fast-medium
Andre Botha,South Africa,Left-hand bat,Right-arm medium
Andre Fletcher,Grenada,Right-hand bat,Right-arm medium-fast
Andre Nel,South Africa,Right-hand bat,Right-arm fast-medium
Andre Russell,Jamaica,Right-hand bat,Right-arm fast
Andrew Balbirnie,Ireland,Right-hand bat,Off-break
Andrew Britton,Ireland,Right-hand bat,Right-arm fast-medium
Andrew Ellis,New Zealand,Right-hand bat,Right-arm fast-medium
Andrew Flintoff,England,Right-hand bat,Right-arm fast
Andrew Gale,England,Left-hand bat,Leg-break
Andrew Greenwood,England,Right-hand bat,
Andrew Hall,South Africa,Right-hand bat,Right-arm fast-medium
Andrew Hilditch,Australia,Right-hand bat,Right-arm medium
Andrew Hodd,England,Right-hand bat,
Andrew Hudson,South Africa,Right-hand bat,Right-arm medium
Andrew Jones,New Zealand,Right-hand bat,Off-break
Andrew McDonald,Australia,Right-hand bat,Right-arm fast-medium
Andrew Penn,New Zealand,Right-hand bat,Right-arm fast-medium
Andrew Poynter,England,Right-hand bat,Off-break
Andrew Puttick,South Africa,Left-hand bat,Right-arm medium
Andrew Stoddart,England,Right-hand bat,Right-arm medium
Andrew Strauss,South Africa,Left-hand bat,Left-arm medium
Andrew Symonds,England,Right-hand bat,Off-break
Andrew White,Ireland,Right-hand bat,Off-break
Andrew Whittall,Zimbabwe,Right-hand bat,Off-break
