Player,Country,Batting_Style,Bowling_Style
Devendra Bishoo,Guyana,Left-hand bat,Leg-break googly
Devon Malcolm,Jamaica,Right-hand bat,Right-arm fast
Devon Smith,Grenada,Left-hand bat,Off-break
Devon Thomas,Antigua and barbuda,Right-hand bat,Right-arm medium
Dewald Nel,South Africa,Right-hand bat,Right-arm medium-fast
Dewald Pretorius,South Africa,Right-hand bat,Right-arm fast
Dhammika Prasad,Sri Lanka,Right-hand bat,Right-arm fast-medium
Dharshana Gamage,Sri Lanka,Right-hand bat,Right-arm fast-medium
Dhawal Kulkarni,India,Right-hand bat,Right-arm medium
Dhiman Ghosh,Bangladesh,Right-hand bat,Off-break
Dhiraj Parsana,India,Left-hand bat,"Left-arm medium-fast, Slow left-arm"
Dhiren Gondaria,India,Right-hand bat,Right-arm medium-fast
Dick Barlow,England,Right-hand bat,Left-arm medium
Dick Howorth,England,Left-hand bat,Slow left-arm
Dick Lilley,England,Right-hand bat,Right-arm medium
Dick Motz,New Zealand,Right-hand bat,Right-arm fast
Dick Pilling,England,Right-hand bat,
Dick Pollard,England,Right-hand bat,Right-arm fast-medium
Dick Pougher,England,Right-hand bat,Right-arm fast-medium
Dick Richardson,England,Left-hand bat,Left-arm medium
Dick Spooner,England,Left-hand bat,
Dick Tyldesley,England,Right-hand bat,Right-arm slow
Dick Westcott,Portugal,Right-hand bat,Right-arm medium
Dick Young,India,Right-hand bat,Leg-break
Dickie Fuller,Jamaica,Right-hand bat,Right-arm fast-medium
Dicky Richards,South Africa,Right-hand bat,
Dilawar Hussain,India,Right-hand bat,
Dilhara Fernando,Sri Lanka,Right-hand bat,Right-arm fast-medium
Dilhara Lokuhettige,Sri Lanka,Right-hand bat,Right-arm fast-medium
Dilip Doshi,India,Left-hand bat,Slow left-arm
Dilip Sardesai,India,Right-hand bat,Right-arm
Dilip Vengsarkar,India,Right-hand bat,Right-arm medium
Dilruwan Perera,Sri Lanka,Right-hand bat,Off-break
Dilshan Munaweera,Sri Lanka,Right-hand bat,Off-break
Dimitri Mascarenhas,England,Right-hand bat,Right-arm medium-fast
Dimuth Karunaratne,Sri Lanka,Left-hand bat,Right-arm medium
Dinanath Ramnarine,Trinidad and Tobago,Left-hand bat,Leg-break googly
Dinesh Chandimal,Sri Lanka,Right-hand bat,Off-break
Dinesh Karthik,India,Right-hand bat,Off-break
Dinesh Mongia,India,Left-hand bat,Slow left-arm
Dinuka Hettiarachchi,Sri Lanka,Right-hand bat,Slow left-arm
Dinusha Fernando,Sri Lanka,Right-hand bat,Right-arm fast-medium
Dion Ebrahim,Zimbabwe,Right-hand bat,Right-arm medium
Dion Nash,New Zealand,Right-hand bat,Right-arm fast-medium
Dipak Chudasama,Kenya,Right-hand bat,
Dipak Patel,Kenya,Right-hand bat,Off-break
Dirk Nannes,Australia,Right-hand bat,Left-arm fast-medium
Dirk Viljoen,Zimbabwe,Left-hand bat,Slow left-arm
Dirk Wellham,Australia,Right-hand bat,
Dodda Ganesh,India,Right-hand bat,Right-arm medium
Dodger Whysall,England,Right-hand bat,Right-arm medium
Dolar Mahmud,Bangladesh,Right-hand bat,Right-arm fast-medium
Dom Joyce,Ireland,Right-hand bat,
Dominic Cork,England,Right-hand bat,Right-arm fast-medium
Dominic Wesonga,Kenya,Right-hand bat,Right-arm fast-medium
Don Anurasiri,Sri Lanka,Right-hand bat,Slow left-arm
Don Beard,New Zealand,Right-hand bat,Right-arm medium
Don Blackie,Australia,Left-hand bat,Off-break
Don Bradman,Australia,Right-hand bat,Leg-break
Don Brennan,England,Right-hand bat,
Don Cleverley,New Zealand,Left-hand bat,Right-arm fast-medium
Don Kenyon,England,Right-hand bat,Right-arm medium
Don Maxwell,Barbados,Right-hand bat,Right-arm fast-medium
Don McRae,New Zealand,Left-hand bat,Left-arm medium
Don Pringle,England,,
Don Tallon,Australia,Right-hand bat,Leg-break
Don Taylor,New Zealand,Right-hand bat,Off-break
Don Wilson,England,Left-hand bat,Slow left-arm
Donald Carr,Germany,Right-hand bat,Slow left-arm
Donald Knight,England,Right-hand bat,
Donald Smith,England,Left-hand bat,Left-arm medium
Donald Tiripano,Zimbabwe,Right-hand bat,Right-arm fast-medium
Donovan Blake,Jamaica,Right-hand bat,Right-arm medium-fast
Donovan Pagon,Jamaica,Right-hand bat,Off-break
Dooley Briscoe,South Africa,Right-hand bat,
Doug Bollinger,Australia,Left-hand bat,Left-arm fast-medium
Doug Bracewell,New Zealand,Right-hand bat,Right-arm medium
Doug Freeman,Australia,Right-hand bat,Leg-break googly
Doug Insole,England,Right-hand bat,Right-arm medium
Doug Marillier,Zimbabwe,Right-hand bat,Off-break
Doug Meintjes,South Africa,Right-hand bat,Right-arm fast-medium
Doug Padgett,England,Right-hand bat,Right-arm medium
Doug Ring,Australia,Right-hand bat,Leg-break googly
Doug Walters,Australia,Right-hand bat,Right-arm medium
Doug Wright,England,Right-hand bat,"Right-arm medium, Leg-break googly"
Dougie Brown,Scotland,Right-hand bat,Right-arm fast-medium
Dougie Lockhart,Scotland,Right-hand bat,Right-arm medium
Douglas Carr,England,Right-hand bat,"Right-arm medium, G"
Douglas Hondo,Zimbabwe,Right-hand bat,Right-arm fast-medium
Douglas Jardine,India,Right-hand bat,Leg-break
Dudley Nourse,South Africa,Right-hand bat,Right-arm
Duleep Mendis,Sri Lanka,Right-hand bat,Right-arm medium
Dulip Liyanage,Sri Lanka,Left-hand bat,Right-arm fast-medium
Dulip Samaraweera,Sri Lanka,Right-hand bat,Off-break
Duncan Allan,Australia,Right-hand bat,Right-arm medium-fast
Duncan Fletcher,Zimbabwe,Left-hand bat,Right-arm fast-medium
Duncan Sharpe,India,Right-hand bat,Off-break
Durand Soraine,India,Right-hand bat,Right-arm medium
Dwayne Bravo,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Dwayne Leverock,Bermuda,Right-hand bat,Slow left-arm
Dwayne Smith,Barbados,Right-hand bat,Right-arm medium
Dwight Basden,Bermuda,Right-hand bat,
Dwight Washington,Jamaica,Right-hand bat,Right-arm fast
EAS Prasanna,India,Right-hand bat,Off-break
Easton McMorris,Jamaica,Right-hand bat,Off-break
Eboo Essop-Adam,Zimbabwe,Right-hand bat,Off-break
Ebrahim Ghazali,India,Right-hand bat,Off-break
Ebrahim Maka,India,Right-hand bat,
Ed Cowan,Australia,Left-hand bat,Off-break
Ed Giddins,England,Right-hand bat,Right-arm fast-medium
Ed Joyce,Ireland,Left-hand bat,Right-arm medium
Ed Smith,England,Right-hand bat,Right-arm medium-fast
Eddie Barlow,South Africa,Right-hand bat,Right-arm medium
Eddie Dawson,England,Right-hand bat,
Eddie Fuller,South Africa,Right-hand bat,Right-arm fast-medium
Eddie Hemmings,England,Right-hand bat,"Right-arm medium, Off-break"
Eddie Leadbeater,England,Right-hand bat,Leg-break googly
Eddie McLeod,New Zealand,Left-hand bat,Leg-break
Eddie Paynter,England,Left-hand bat,Right-arm medium
Eddie Richardson,Ireland,Right-hand bat,Right-arm medium
Eddo Brandes,South Africa,Right-hand bat,Right-arm fast-medium
Edgar Mayne,Australia,Right-hand bat,Right-arm
Edgar Schiferli,Netherlands,Right-hand bat,Right-arm medium-fast
Edmund Peate,England,Left-hand bat,Slow left-arm
Edward Rainsford,Zimbabwe,Right-hand bat,Right-arm fast-medium
Edward Tylecote,England,Right-hand bat,
Edward van der Merwe,South Africa,Right-hand bat,
Edwin Evans,Australia,Right-hand bat,Right-arm fast-medium
Edwin St Hill,Trinidad and Tobago,Right-hand bat,Right-arm medium
Ehsan Adil,Pakistan,Right-hand bat,Right-arm fast-medium
Ehsan Nawaz,Pakistan,Right-hand bat,Right-arm fast-medium
Ehsanul Haque,Bangladesh,Right-hand bat,Off-break
Ehteshamuddin,Pakistan,Right-hand bat,Right-arm fast-medium
Eion Katchay,Guyana,Right-hand bat,Right-arm fast-medium
Eknath Solkar,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Eldine Baptiste,Antigua and barbuda,Right-hand bat,Right-arm fast-medium
Elias Sunny,Bangladesh,Left-hand bat,Slow left-arm
Elijah Otieno,Kenya,Right-hand bat,Right-arm medium
Elquemedo Willett,St Kitts and Nevis,Left-hand bat,Slow left-arm
Elton Chigumbura,Zimbabwe,Right-hand bat,Right-arm medium
EM Grace,England,Right-hand bat,"Right-arm fast roundarm, Right-arm slow underarm"
Emile McMaster,Ireland,Right-hand bat,
Emmanuel Bundi,Kenya,Right-hand bat,Right-arm medium-fast
Enamul Haque,Pakistan,Left-hand bat,Slow left-arm
Eoin Morgan,Ireland,Left-hand bat,Right-arm medium
Eric Atkinson,Barbados,Right-hand bat,Right-arm medium-fast
Eric Dalton,South Africa,Right-hand bat,"Leg-break, Right-arm medium"
Eric Davies,South Africa,Left-hand bat,Right-arm fast
Eric Dempster,New Zealand,Left-hand bat,Slow left-arm
Eric Fisher,New Zealand,Right-hand bat,Left-arm medium
Eric Freeman,Australia,Right-hand bat,Right-arm fast-medium
Eric Gouka,Netherlands,Right-hand bat,Right-arm medium
Eric Hollies,England,Right-hand bat,Leg-break googly
Eric Marx,South Africa,Left-hand bat,Right-arm medium
Eric Petrie,New Zealand,Right-hand bat,Leg-break
Eric Rowan,South Africa,Right-hand bat,Leg-break
Eric Russell,Scotland,Right-hand bat,Right-arm medium
Eric Simons,South Africa,Right-hand bat,Right-arm fast-medium
Eric Szwarczynski,South Africa,Right-hand bat,Right-arm medium
Eric Tindill,New Zealand,Left-hand bat,
Eric Upashantha,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ernest Bock,South Africa,Right-hand bat,Right-arm medium
Ernest Bromley,Australia,Left-hand bat,Slow left-arm
Ernest Halliwell,England,Right-hand bat,
Ernest Tyldesley,England,Right-hand bat,Right-arm slow-medium
Ernie Hayes,England,Right-hand bat,Leg-break
Ernie Jones,Australia,Right-hand bat,Right-arm fast
Ernie McCormick,Australia,Left-hand bat,Right-arm fast
Ernie Toshack,Australia,Right-hand bat,Left-arm medium
Ernie Vogler,South Africa,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Leg-break googly"
Errol Holmes,India,Right-hand bat,"Right-arm fast, Right-arm medium"
Errol Hunte,Trinidad and Tobago,Right-hand bat,
Errol Stewart,South Africa,Right-hand bat,Right-arm medium
Erv McSweeney,New Zealand,Right-hand bat,
Esmond Kentish,Jamaica,Right-hand bat,Right-arm fast-medium
Esuan Crandon,Guyana,Left-hand bat,Right-arm fast
Eugene Palmer,Australia,Right-hand bat,"Right-arm medium, Off-break"
Evan Gray,New Zealand,Right-hand bat,Slow left-arm
Everton Matambanadzo,Zimbabwe,Right-hand bat,Right-arm medium-fast
Everton Mattis,Jamaica,Right-hand bat,Off-break
Everton Weekes,Barbados,Right-hand bat,Leg-break
Evin Lewis,Trinidad and Tobago,Left-hand bat,Right-arm medium
Ewart Astill,England,Right-hand bat,Right-arm slow-medium
Ewen Chatfield,New Zealand,Right-hand bat,Right-arm medium-fast
Ewen Thompson,New Zealand,Left-hand bat,Left-arm fast-medium
Ezra Moseley,Barbados,Right-hand bat,Right-arm fast-medium
Faf du Plessis,South Africa,Right-hand bat,Leg-break
Fahad Alhashmi,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Fahad Usman,Pakistan,Left-hand bat,Leg-break
Fahim Muntasir,Bangladesh,Right-hand bat,Off-break
Faisal Athar,Pakistan,Right-hand bat,Right-arm medium
Faisal Hossain,Bangladesh,Left-hand bat,Slow left-arm
Faisal Iqbal,Pakistan,Right-hand bat,Right-arm medium
Faizan Asif,Pakistan,Left-hand bat,
Fanie de Villiers,South Africa,Right-hand bat,Right-arm fast-medium
Faoud Bacchus,Guyana,Right-hand bat,Right-arm medium
Farhaan Behardien,South Africa,Right-hand bat,Right-arm medium-fast
Farhad Reza,Bangladesh,Right-hand bat,Right-arm fast-medium
Farhan Adil,Pakistan,Right-hand bat,Off-break
Farokh Engineer,India,Right-hand bat,Leg-break
Farooq Hameed,India,Right-hand bat,Right-arm fast-medium
Farrukh Zaman,Pakistan,Right-hand bat,Slow left-arm
Faruk Ahmed,Pakistan,Right-hand bat,Off-break
Farveez Maharoof,Sri Lanka,Right-hand bat,Right-arm fast-medium
Father Marriott,England,Right-hand bat,Leg-break googly
Fawad Ahmed,Pakistan,Right-hand bat,Leg-break
Fawad Alam,Pakistan,Left-hand bat,Slow left-arm
Fayyaz Ahmed,Pakistan,Left-hand bat,Slow left-arm
Fazal Mahmood,India,Right-hand bat,Right-arm fast-medium
Fazal-ur-Rehman,India,Right-hand bat,Leg-break
Fazil Sattaur,Guyana,Right-hand bat,
Fazl-e-Akbar,Pakistan,Right-hand bat,Right-arm fast-medium
Feiko Kloppenburg,Netherlands,Right-hand bat,Right-arm medium
Fen Cresswell,New Zealand,Left-hand bat,Right-arm slow-medium
Fidel Edwards,Barbados,Right-hand bat,Right-arm fast
Fiqre Crockwell,Bermuda,Right-hand bat,
Fish Markham,Swaziland,Right-hand bat,Leg-break
Flavian Aponso,Sri Lanka,Left-hand bat,Leg-break
Flooi du Toit,South Africa,Right-hand bat,Left-arm medium
Floris Jansen,Netherlands,Right-hand bat,Right-arm medium
Floyd Reifer,Barbados,Left-hand bat,Right-arm medium
Foffie Williams,Barbados,Right-hand bat,Right-arm fast-medium
Forster Mutizwa,Zimbabwe,Right-hand bat,Off-break
Francis Ford,England,Left-hand bat,Slow left-arm
Francis MacKinnon,England,Right-hand bat,
Francis Otieno,Kenya,Right-hand bat,Right-arm medium
Frank Allan,Australia,Right-hand bat,Left-arm fast-medium roundarm
Frank Cameron,New Zealand,Right-hand bat,Right-arm medium
Frank de Caires,Guyana,Right-hand bat,Right-arm
Frank Druce,England,Right-hand bat,
Frank Foster,England,Right-hand bat,Left-arm fast-medium
Frank Hayes,England,Right-hand bat,Right-arm medium
Frank Hearne,England,Right-hand bat,Right-arm fast roundarm
Frank Iredale,Australia,Right-hand bat,
Frank King,Barbados,Right-hand bat,Right-arm fast
Frank Laver,Australia,Right-hand bat,Right-arm medium
Frank Lowson,England,Right-hand bat,Off-break
Frank Mann,England,Right-hand bat,Right-arm slow
Frank Martin,Jamaica,Left-hand bat,Slow left-arm
Frank Milligan,England,Right-hand bat,Right-arm fast
Frank Misson,Australia,Right-hand bat,Right-arm fast-medium
Frank Mitchell,England,Right-hand bat,Right-arm medium
Frank Mooney,New Zealand,Right-hand bat,Right-arm
Frank Nicholson,England,Right-hand bat,
Frank Penn,England,Right-hand bat,Right-arm slow roundarm
Frank Smailes,England,Left-hand bat,Right-arm medium
Frank Sugg,England,Right-hand bat,Right arm underarm
Frank Tyson,England,Right-hand bat,Right-arm fast
Frank Walters,Australia,Right-hand bat,Right-arm medium
Frank Ward,Australia,Right-hand bat,Leg-break googly
Frank Woolley,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Frank Worrell,Barbados,Right-hand bat,"Left-arm medium, Slow left-arm"
Franklyn Dennis,Jamaica,Right-hand bat,
Franklyn Rose,Jamaica,Right-hand bat,Right-arm fast
Frasat Ali,Pakistan,Right-hand bat,Right-arm medium
Fraser Watts,England,Right-hand bat,Right-arm medium
Fred Bakewell,England,Right-hand bat,Right-arm medium
Fred Barratt,England,Right-hand bat,Right-arm fast
Fred Freer,Australia,Right-hand bat,Right-arm fast-medium
Fred Grace,England,Right-hand bat,Right-arm fast roundarm
Fred le Roux,South Africa,Right-hand bat,Right-arm medium
Fred Morley,England,Left-hand bat,Left-arm fast
Fred Price,England,Right-hand bat,
Fred Ridgway,England,Right-hand bat,Right-arm fast-medium
Fred Root,England,Right-hand bat,Right-arm fast-medium
Fred Rumsey,England,Right-hand bat,Left-arm fast-medium
Fred Smith,South Africa,Right-hand bat,
Fred Spofforth,Australia,Right-hand bat,Right-arm fast-medium
Fred Susskind,South Africa,Right-hand bat,
Fred Tate,England,Right-hand bat,Right-arm medium
Fred Titmus,England,Right-hand bat,Off-break
Fred Trueman,England,Right-hand bat,Right-arm fast
Freddie Brown,Peru,Right-hand bat,"Right-arm medium, Leg-break googly"
Freddie Calthorpe,England,Right-hand bat,Right-arm medium
Freddie Coleman,Scotland,Right-hand bat,Off-break
Frederick Burton,Australia,Right-hand bat,
Frederick Cook,Indonesia,Right-hand bat,
Frederick Fane,Ireland,Right-hand bat,
Frederick Kuys,South Africa,Right-hand bat,Right-arm
Frederick Martin,England,Left-hand bat,Left-arm medium
Friday Kasteni,Zimbabwe,Left-hand bat,Slow left-arm
Friedel de Wet,South Africa,Right-hand bat,Right-arm fast-medium
Gagan Khoda,India,Right-hand bat,Off-break
Gamini Perera,Sri Lanka,Right-hand bat,Slow left-arm
Gamini Wickremasinghe,Sri Lanka,Right-hand bat,Off-break
Ganesh Mylvaganam,Sri Lanka,Right-hand bat,
Gareth Batty,England,Right-hand bat,Off-break
Gareth Breese,Jamaica,Right-hand bat,Off-break
Gareth Hopkins,New Zealand,Right-hand bat,
Garey Mathurin,St Lucia,Left-hand bat,Slow left-arm
Garnett Kruger,South Africa,Right-hand bat,Right-arm medium-fast
Garry Sobers,Barbados,Left-hand bat,"Left-arm fast-medium, Slow left-arm, Chinaman"
Garth McKenzie,Australia,Right-hand bat,Right-arm fast
Gary Ballance,Zimbabwe,Left-hand bat,Leg-break
Gary Bartlett,New Zealand,Right-hand bat,Right-arm fast
Gary Brent,Zimbabwe,Right-hand bat,Right-arm medium
Gary Cosier,Australia,Right-hand bat,Right-arm medium
Gary Crocker,Zimbabwe,Left-hand bat,Left-arm medium-fast
Gary Gilmour,Australia,Left-hand bat,Left-arm fast-medium
Gary Kidd,Ireland,Left-hand bat,Slow left-arm
Gary Kirsten,South Africa,Left-hand bat,Off-break
Gary Martin,Zimbabwe,Right-hand bat,Right-arm medium
Gary Putland,Australia,Right-hand bat,Left-arm fast-medium
Gary Robertson,New Zealand,Right-hand bat,Right-arm fast-medium
Gary Stead,New Zealand,Right-hand bat,Leg-break
Gary Troup,New Zealand,Right-hand bat,Left-arm fast-medium
Gary Wilson,Ireland,Right-hand bat,
Gautam Gambhir,India,Left-hand bat,Leg-break
Gavin Briant,Zimbabwe,Right-hand bat,Off-break
Gavin Ewing,Zimbabwe,Right-hand bat,Off-break
Gavin Hamilton,Scotland,Left-hand bat,Right-arm medium-fast
Gavin Larsen,New Zealand,Right-hand bat,Right-arm medium
Gavin Murgatroyd,Namibia,Right-hand bat,Right-arm medium
Gavin Rennie,Zimbabwe,Left-hand bat,Slow left-arm
Gavin Robertson,Australia,Right-hand bat,Off-break
Gavin Stevens,Australia,Right-hand bat,
Gavin Tonge,Antigua and barbuda,Right-hand bat,Right-arm fast-medium
Gayan Wijekoon,Sri Lanka,Left-hand bat,Left-arm medium
Gazi Ashraf,Pakistan,Right-hand bat,Off-break
Geert-Maarten Mol,Netherlands,Left-hand bat,Leg-break
Geff Noblet,Australia,Right-hand bat,Right-arm fast-medium
Geoff Allott,New Zealand,Right-hand bat,Left-arm fast-medium
Geoff Arnold,England,Right-hand bat,Right-arm fast-medium
Geoff Barnett,New Zealand,Left-hand bat,Right-arm medium
Geoff Chubb,South Africa,Right-hand bat,Right-arm medium-fast
Geoff Cook,England,Right-hand bat,Slow left-arm
Geoff Cope,England,Right-hand bat,Off-break
Geoff Dymock,Australia,Left-hand bat,Left-arm fast-medium
Geoff Greenidge,Barbados,Right-hand bat,Leg-break googly
Geoff Griffin,South Africa,Right-hand bat,Right-arm fast
Geoff Howarth,New Zealand,Right-hand bat,Off-break
Geoff Humpage,England,Right-hand bat,Right-arm medium
Geoff Lawson,Australia,Right-hand bat,Right-arm fast
Geoff Marsh,Australia,Right-hand bat,
Geoff Miller,England,Right-hand bat,Off-break
Geoff Millman,England,Right-hand bat,Off-break
Geoff Pullar,England,Left-hand bat,Leg-break
Geoff Rabone,New Zealand,Right-hand bat,"Off-break, Leg-break"
Geoffrey Boycott,England,Right-hand bat,Right-arm medium
Geoffrey Legge,England,Right-hand bat,Leg-break
George Alexander,England,Right-hand bat,Right-arm fast roundarm
George Bailey,Australia,Right-hand bat,Right-arm medium
George Bean,England,Right-hand bat,Right-arm medium
George Bissett,South Africa,Right-hand bat,Right-arm fast
George Bonnor,Australia,Right-hand bat,Right-arm medium
George Brown,England,Left-hand bat,Right-arm medium
George Carew,Barbados,Right-hand bat,Slow left-arm
George Challenor,Barbados,Right-hand bat,Right-arm medium
George Codrington,Barbados,Right-hand bat,Right-arm medium
George Coulthard,Australia,Right-hand bat,Right-arm medium
George Dickinson,New Zealand,Right-hand bat,Right-arm fast
George Dockrell,Ireland,Right-hand bat,Slow left-arm
George Duckworth,England,Right-hand bat,Right-arm medium
George Emmett,India,Right-hand bat,Slow left-arm
George Francis,Barbados,Right-hand bat,Right-arm fast
George Fullerton,South Africa,Right-hand bat,Right-arm medium
George Geary,England,Right-hand bat,Right-arm fast-medium
George Giffen,Australia,Right-hand bat,"Right-arm medium, Off-break"
George Gladstone,Jamaica,Left-hand bat,Slow left-arm
George Glover,England,Right-hand bat,Off-break
George Gunn,England,Right-hand bat,Right-arm
George Headley,Panama,Right-hand bat,Leg-break
George Hearne,England,Left-hand bat,Left-arm medium roundarm
George Hirst,England,Right-hand bat,Left-arm medium-fast
George Lohmann,England,Right-hand bat,Right-arm medium-fast
George Macaulay,England,Right-hand bat,"Right-arm fast, Right-arm medium"
George Mann,England,Right-hand bat,
George McShane,Australia,Left-hand bat,Left-arm medium
George Mudie,Jamaica,Right-hand bat,Slow left-arm
George O'Brien,Bermuda,Right-hand bat,Right-arm fast-medium
George Paine,England,Right-hand bat,Slow left-arm
George Parker,South Africa,Right-hand bat,Right-arm fast
George Pope,England,Right-hand bat,Right-arm fast-medium
George Rowe,South Africa,Right-hand bat,Slow left-arm
George Salmond,Scotland,Right-hand bat,Right-arm medium
George Shepstone,South Africa,Right-hand bat,Right-arm fast
George Simpson-Hayward,England,Right-hand bat,Right-arm slow underarm
George Street,England,Right-hand bat,
George Studd,England,Right-hand bat,
George Tapscott,South Africa,Right-hand bat,Right-arm medium
George Thompson,England,Right-hand bat,Right-arm fast-medium
George Thoms,Australia,Right-hand bat,
George Thornton,England,Left-hand bat,Slow left-arm
George Tribe,Australia,Left-hand bat,Chinaman
George Ulyett,England,Right-hand bat,Right-arm fast roundarm
George Vernon,England,Right-hand bat,Unknown arm slow underarm
George Wood,England,Right-hand bat,Right-arm medium
George Worker,New Zealand,Left-hand bat,Slow left-arm
Geraint Jones,Papua New Guinea,Right-hand bat,Right-arm medium
Gerald Bond,South Africa,Right-hand bat,Right-arm medium
Gerald Hartigan,South Africa,Right-hand bat,"Right-arm fast-medium, Leg-break"
Gerald Peckover,Zimbabwe,Right-hand bat,
Gerald Smithson,England,Left-hand bat,Right-arm medium
Gerhardus Liebenberg,South Africa,Right-hand bat,Right-arm fast-medium
Gerrie Snyman,Namibia,Right-hand bat,Right-arm fast-medium
Gerry Alexander,Jamaica,Right-hand bat,
Gerry Gomez,Trinidad and Tobago,Right-hand bat,Right-arm medium
Gerry Hazlitt,Australia,Right-hand bat,"Right-arm medium, Off-break"
Ghulam Abbas,India,Left-hand bat,Slow left-arm
Ghulam Ahmed,India,Right-hand bat,Off-break
Ghulam Ali,Pakistan,Right-hand bat,Right-arm medium
Ghulam Guard,India,Left-hand bat,Left-arm fast-medium
Ghulam Parkar,India,Right-hand bat,Right-arm medium
Giff Vivian,New Zealand,Left-hand bat,Slow left-arm
Gihan Rupasinghe,Sri Lanka,Left-hand bat,Leg-break
Gil Langley,Australia,Right-hand bat,
Gilbert Jessop,England,Right-hand bat,Right-arm fast
Gilbert Parkhouse,Wales,Right-hand bat,Right-arm medium
Gladstone Small,Barbados,Right-hand bat,Right-arm fast-medium
Glen Bruk-Jackson,Zimbabwe,Right-hand bat,Off-break
Glen Chapple,England,Right-hand bat,Right-arm medium-fast
Glen Hall,South Africa,Right-hand bat,Leg-break
Glen Sulzberger,New Zealand,Left-hand bat,Off-break
Glendon Gibbs,Guyana,Left-hand bat,Slow left-arm
Glenn Bishop,Australia,Right-hand bat,
Glenn Blakeney,Bermuda,Left-hand bat,
Glenn Maxwell,Australia,Right-hand bat,Off-break
Glenn McGrath,Australia,Right-hand bat,Right-arm fast-medium
Glenn Rogers,Australia,Right-hand bat,Slow left-arm
Glenn Trimble,Australia,Right-hand bat,Right-arm medium
Glenn Turner,New Zealand,Right-hand bat,Off-break
Glenroy Sealy,Barbados,Right-hand bat,Right-arm medium
Gobo Ashley,South Africa,Left-hand bat,Left-arm medium
Godfrey Cripps,India,Right-hand bat,Right-arm
Godfrey Evans,England,Right-hand bat,Leg-break
Godfrey Lawrence,Zimbabwe,Right-hand bat,Right-arm fast-medium
Gogumal Kishenchand,India,Right-hand bat,Leg-break
Golam Faruq,Pakistan,Right-hand bat,Right-arm fast-medium
Golam Nousher,Pakistan,Left-hand bat,Left-arm medium
Gopal Bose,India,Right-hand bat,Off-break
Gopal Sharma,India,Right-hand bat,Off-break
Gordon Drummond,Scotland,Right-hand bat,Right-arm medium
Gordon Goudie,Scotland,Right-hand bat,Right-arm medium-fast
Gordon Greenidge,Barbados,Right-hand bat,"Right-arm medium, Off-break"
Gordon Leggat,New Zealand,Right-hand bat,
Gordon Rorke,Australia,Left-hand bat,Right-arm fast
Gordon Rowe,Scotland,Right-hand bat,
Gordon White,South Africa,Right-hand bat,Leg-break
Graeme Aldridge,New Zealand,Right-hand bat,Right-arm fast-medium
Graeme Beard,Australia,Right-hand bat,"Right-arm medium, Off-break"
Graeme Cremer,Zimbabwe,Right-hand bat,Leg-break googly
Graeme Fowler,England,Left-hand bat,Right-arm medium
Graeme Hick,Zimbabwe,Right-hand bat,Off-break
Graeme Hole,Australia,Right-hand bat,Off-break
Graeme Labrooy,Sri Lanka,Right-hand bat,Right-arm fast-medium
Graeme Pollock,South Africa,Left-hand bat,Leg-break
Graeme Porter,Australia,Right-hand bat,Right-arm medium
Graeme Smith,South Africa,Left-hand bat,Off-break
Graeme Swann,England,Right-hand bat,Off-break
Graeme Watson,Australia,Right-hand bat,Right-arm medium
Graeme Wood,Australia,Left-hand bat,Right-arm medium
Graham Barlow,England,Left-hand bat,Right-arm medium
Graham Dilley,England,Left-hand bat,Right-arm fast
Graham Dowling,New Zealand,Right-hand bat,Right-arm medium
Graham Gedye,New Zealand,Right-hand bat,
Graham Gooch,England,Right-hand bat,Right-arm medium
Graham Lloyd,England,Right-hand bat,Right-arm medium
Graham Manou,Australia,Right-hand bat,
Graham Onions,England,Right-hand bat,Right-arm medium-fast
Graham Roope,England,Right-hand bat,Right-arm medium
Graham Stevenson,England,Right-hand bat,Right-arm medium
Graham Thorpe,England,Left-hand bat,Right-arm medium
Graham Vivian,New Zealand,Left-hand bat,Leg-break
Graham Yallop,Australia,Left-hand bat,Left-arm medium
Grahame Bilby,New Zealand,Right-hand bat,
Grahame Chevalier,South Africa,Right-hand bat,Slow left-arm
Grahame Corling,Australia,Right-hand bat,Right-arm fast-medium
Grahame Thomas,Australia,Right-hand bat,
Grant Bradburn,New Zealand,Right-hand bat,Off-break
Grant Elliott,South Africa,Right-hand bat,Right-arm fast-medium
Grant Flower,Zimbabwe,Right-hand bat,Slow left-arm
Grant Paterson,Zimbabwe,Right-hand bat,
Granville de Silva,Sri Lanka,Right-hand bat,Right-arm fast-medium
Grayson Shillingford,Dominica,Left-hand bat,Right-arm fast-medium
Greg Blewett,Australia,Right-hand bat,Right-arm medium
Greg Campbell,Australia,Right-hand bat,Right-arm fast-medium
Greg Chappell,Australia,Right-hand bat,"Leg-break, Right-arm medium"
Greg Dyer,Australia,Right-hand bat,
Greg Lamb,Zimbabwe,Right-hand bat,"Right-arm medium, Off-break"
Greg Loveridge,New Zealand,Right-hand bat,Leg-break
Greg Matthews,Australia,Left-hand bat,Off-break
Greg Ritchie,Australia,Right-hand bat,Right-arm medium
