match_id,neutral_venue,toss_winner,toss_decision,eliminator
419150,0,Rajasthan Royals,field,N
419151,0,Royal Challengers Bangalore,field,N
419152,0,Mumbai Indians,bat,N
419153,0,Kolkata Knight Riders,bat,N
419154,0,Rajasthan Royals,bat,N
419155,0,Chennai Super Kings,bat,N
419156,0,Deccan Chargers,field,N
419157,0,Royal Challengers Bangalore,field,N
419158,0,Rajasthan Royals,bat,N
419159,0,Chennai Super Kings,field,N
419160,0,Deccan Chargers,bat,N
419161,0,Mumbai Indians,bat,N
419162,0,Mumbai Indians,bat,N
419163,0,Chennai Super Kings,bat,N
419164,0,Deccan Chargers,bat,N
419165,0,Chennai Super Kings,bat,N
501198,0,Chennai Super Kings,bat,N
501199,0,Rajasthan Royals,field,N
501200,0,Kochi Tuskers Kerala,bat,N
501201,0,Delhi Daredevils,bat,N
501202,0,Kings XI Punjab,bat,N
501203,0,Kolkata Knight Riders,bat,N
501204,0,Delhi Daredevils,bat,N
501205,0,Mumbai Indians,field,N
501206,0,Kings XI Punjab,field,N
501207,0,Kochi Tuskers Kerala,bat,N
501208,0,Royal Challengers Bangalore,field,N
501209,0,Kolkata Knight Riders,field,N
501210,0,Kochi Tuskers Kerala,field,N
501211,0,Chennai Super Kings,bat,N
501212,0,Kings XI Punjab,field,N
501213,0,Delhi Daredevils,field,N
501214,0,Kolkata Knight Riders,field,N
501215,0,Kochi Tuskers Kerala,field,N
501216,0,Deccan Chargers,bat,N
501218,0,Pune Warriors,bat,N
501219,0,Kolkata Knight Riders,field,N
501220,0,Rajasthan Royals,field,N
501221,0,Chennai Super Kings,field,N
501222,0,Royal Challengers Bangalore,field,N
501223,0,Kings XI Punjab,field,N
501224,0,Deccan Chargers,field,N
501225,0,Rajasthan Royals,field,N
501226,0,Pune Warriors,field,N
501227,0,Royal Challengers Bangalore,field,N
501228,0,Pune Warriors,bat,N
501229,0,Kochi Tuskers Kerala,field,N
501230,0,Delhi Daredevils,field,N
501231,0,Rajasthan Royals,field,N
501232,0,Pune Warriors,field,N
501233,0,Delhi Daredevils,bat,N
501234,0,Kolkata Knight Riders,field,N
501235,0,Rajasthan Royals,field,N
501236,0,Chennai Super Kings,bat,N
501237,0,Kings XI Punjab,field,N
501238,0,Kochi Tuskers Kerala,field,N
501239,0,Deccan Chargers,field,N
501240,0,Rajasthan Royals,bat,N
501241,0,Pune Warriors,field,N
501242,0,Kolkata Knight Riders,field,N
501243,0,Delhi Daredevils,field,N
501244,0,Kings XI Punjab,field,N
501245,0,Chennai Super Kings,bat,N
501246,0,Delhi Daredevils,field,N
501247,0,Kochi Tuskers Kerala,bat,N
501248,0,Kings XI Punjab,bat,N
501249,0,Rajasthan Royals,field,N
501250,0,Deccan Chargers,bat,N
501251,0,Mumbai Indians,field,N
501252,0,Royal Challengers Bangalore,field,N
501253,0,Chennai Super Kings,bat,N
501254,0,Kings XI Punjab,field,N
501255,0,Royal Challengers Bangalore,field,N
501256,0,Deccan Chargers,bat,N
501257,0,Delhi Daredevils,field,N
501258,0,Kochi Tuskers Kerala,field,N
501259,0,Deccan Chargers,field,N
501260,0,Kings XI Punjab,bat,N
501261,0,Chennai Super Kings,bat,N
501262,0,Kolkata Knight Riders,field,N
501263,0,Mumbai Indians,bat,N
501264,0,Kings XI Punjab,field,N
501265,0,Delhi Daredevils,bat,NA
501266,0,Royal Challengers Bangalore,field,N
501267,0,Mumbai Indians,field,N
501268,0,Chennai Super Kings,field,N
501269,0,Mumbai Indians,field,N
501270,0,Mumbai Indians,field,N
501271,0,Chennai Super Kings,bat,N
548306,0,Mumbai Indians,field,N
548307,0,Delhi Daredevils,field,N
548308,0,Mumbai Indians,field,N
548309,0,Kings XI Punjab,field,N
548310,0,Delhi Daredevils,field,N
548311,0,Deccan Chargers,field,N
548312,0,Kolkata Knight Riders,field,N
548313,0,Pune Warriors,bat,N
548314,0,Deccan Chargers,bat,N
548315,0,Royal Challengers Bangalore,field,N
548316,0,Delhi Daredevils,field,N
548317,0,Rajasthan Royals,field,N
548318,0,Royal Challengers Bangalore,bat,N
548319,0,Kings XI Punjab,field,N
548320,0,Rajasthan Royals,bat,N
548321,0,Deccan Chargers,bat,N
548322,0,Chennai Super Kings,bat,N
548323,0,Kolkata Knight Riders,field,N
548324,0,Rajasthan Royals,bat,N
548325,0,Delhi Daredevils,field,N
548326,0,Deccan Chargers,bat,N
548327,0,Pune Warriors,bat,N
548328,0,Kings XI Punjab,bat,N
548329,0,Deccan Chargers,bat,N
548330,0,Pune Warriors,field,N
548331,0,Royal Challengers Bangalore,field,N
548332,0,Rajasthan Royals,bat,N
548333,0,Delhi Daredevils,field,N
548334,0,Mumbai Indians,bat,N
548335,0,Kolkata Knight Riders,field,N
548336,0,Rajasthan Royals,field,N
548337,0,Pune Warriors,bat,N
548339,0,Kings XI Punjab,bat,N
548341,0,Deccan Chargers,bat,N
548342,0,Mumbai Indians,field,N
548343,0,Kings XI Punjab,bat,N
548344,0,Kolkata Knight Riders,bat,N
548345,0,Delhi Daredevils,bat,N
548346,0,Mumbai Indians,field,N
548347,0,Chennai Super Kings,bat,N
548348,0,Deccan Chargers,bat,N
548349,0,Rajasthan Royals,bat,N
548350,0,Kings XI Punjab,field,N
548351,0,Mumbai Indians,bat,N
548352,0,Chennai Super Kings,bat,N
548353,0,Kolkata Knight Riders,bat,N
548354,0,Rajasthan Royals,bat,N
548355,0,Mumbai Indians,field,N
548356,0,Royal Challengers Bangalore,field,N
548357,0,Delhi Daredevils,bat,N
548358,0,Pune Warriors,bat,N
548359,0,Deccan Chargers,field,N
548360,0,Royal Challengers Bangalore,field,N
548361,0,Chennai Super Kings,field,N
548362,0,Pune Warriors,field,N
548363,0,Mumbai Indians,bat,N
548364,0,Chennai Super Kings,field,N
548365,0,Rajasthan Royals,bat,N
548366,0,Deccan Chargers,bat,N
548367,0,Mumbai Indians,field,N
548368,0,Chennai Super Kings,field,N
548369,0,Kings XI Punjab,bat,N
548370,0,Mumbai Indians,field,N
548371,0,Kings XI Punjab,field,N
548372,0,Delhi Daredevils,field,N
548373,0,Rajasthan Royals,bat,N
548374,0,Delhi Daredevils,field,N
548375,0,Kolkata Knight Riders,bat,N
548376,0,Royal Challengers Bangalore,field,N
548377,0,Rajasthan Royals,bat,N
548378,0,Kolkata Knight Riders,bat,N
548379,0,Mumbai Indians,field,N
548380,0,Delhi Daredevils,field,N
548381,0,Chennai Super Kings,bat,N
597998,0,Kolkata Knight Riders,field,N
597999,0,Mumbai Indians,field,N
598000,0,Pune Warriors,field,N
598001,0,Rajasthan Royals,bat,N
598002,0,Mumbai Indians,bat,N
598003,0,Pune Warriors,bat,N
598004,0,Royal Challengers Bangalore,bat,Y
598005,0,Kolkata Knight Riders,field,N
598006,0,Mumbai Indians,bat,N
598007,0,Chennai Super Kings,field,N
598008,0,Royal Challengers Bangalore,field,N
598009,0,Rajasthan Royals,bat,N
598010,0,Delhi Daredevils,bat,N
598011,0,Mumbai Indians,bat,N
598012,0,Chennai Super Kings,field,N
598013,0,Kolkata Knight Riders,bat,N
598014,0,Rajasthan Royals,field,N
598015,0,Pune Warriors,bat,N
598016,0,Kolkata Knight Riders,field,N
598017,0,Royal Challengers Bangalore,field,Y
598018,0,Pune Warriors,field,N
598019,0,Rajasthan Royals,bat,N
598020,0,Chennai Super Kings,bat,N
598021,0,Kings XI Punjab,bat,N
598022,0,Kolkata Knight Riders,bat,N
598023,0,Royal Challengers Bangalore,field,N
598024,0,Mumbai Indians,bat,N
598025,0,Kings XI Punjab,field,N
598026,0,Rajasthan Royals,bat,N
598027,0,Pune Warriors,field,N
598028,0,Delhi Daredevils,field,N
598029,0,Kolkata Knight Riders,bat,N
598030,0,Sunrisers Hyderabad,bat,N
598031,0,Kings XI Punjab,bat,N
598032,0,Sunrisers Hyderabad,bat,N
598033,0,Mumbai Indians,bat,N
598034,0,Kolkata Knight Riders,field,N
598035,0,Pune Warriors,field,N
598036,0,Rajasthan Royals,field,N
598037,0,Mumbai Indians,bat,N
598038,0,Chennai Super Kings,bat,N
598039,0,Mumbai Indians,bat,N
598040,0,Kolkata Knight Riders,bat,N
598041,0,Chennai Super Kings,bat,N
598042,0,Royal Challengers Bangalore,bat,N
598043,0,Rajasthan Royals,bat,N
598044,0,Delhi Daredevils,bat,N
598045,0,Kings XI Punjab,field,N
598046,0,Mumbai Indians,bat,N
598047,0,Pune Warriors,bat,N
598048,0,Sunrisers Hyderabad,bat,N
598049,0,Delhi Daredevils,bat,N
598050,0,Mumbai Indians,bat,N
598051,0,Sunrisers Hyderabad,field,N
598052,0,Rajasthan Royals,field,N
598053,0,Kolkata Knight Riders,bat,N
598054,0,Delhi Daredevils,field,N
598055,0,Pune Warriors,bat,N
598056,0,Kings XI Punjab,field,N
598057,0,Kolkata Knight Riders,field,N
598058,0,Rajasthan Royals,field,N
598059,0,Kings XI Punjab,field,N
598060,0,Sunrisers Hyderabad,bat,N
598061,0,Kolkata Knight Riders,field,N
598062,0,Chennai Super Kings,bat,N
598063,0,Rajasthan Royals,field,N
598064,0,Kings XI Punjab,field,N
598065,0,Sunrisers Hyderabad,bat,N
598066,0,Mumbai Indians,field,N
598067,0,Pune Warriors,bat,N
598068,0,Chennai Super Kings,field,N
598069,0,Kolkata Knight Riders,bat,N
598070,0,Chennai Super Kings,bat,N
598071,0,Sunrisers Hyderabad,bat,N
598072,0,Rajasthan Royals,bat,N
598073,0,Mumbai Indians,bat,N
729279,1,Kolkata Knight Riders,bat,N
729281,1,Royal Challengers Bangalore,field,N
729283,1,Chennai Super Kings,bat,N
729285,1,Rajasthan Royals,field,N
729287,1,Royal Challengers Bangalore,field,N
729289,1,Kolkata Knight Riders,bat,N
729291,1,Kings XI Punjab,field,N
729293,1,Chennai Super Kings,bat,N
729295,1,Sunrisers Hyderabad,field,N
729297,1,Rajasthan Royals,field,N
729299,1,Royal Challengers Bangalore,field,N
729301,1,Sunrisers Hyderabad,bat,N
729303,1,Mumbai Indians,bat,N
729305,1,Rajasthan Royals,field,N
729307,1,Kolkata Knight Riders,field,N
729309,1,Mumbai Indians,bat,N
729311,1,Sunrisers Hyderabad,bat,N
729313,1,Kings XI Punjab,field,N
729315,1,Rajasthan Royals,bat,Y
729317,1,Mumbai Indians,field,N
733971,0,Chennai Super Kings,bat,N
733973,0,Kings XI Punjab,bat,N
733975,0,Rajasthan Royals,field,N
733977,0,Royal Challengers Bangalore,field,N
733979,0,Kolkata Knight Riders,field,N
733981,0,Chennai Super Kings,field,N
733983,0,Royal Challengers Bangalore,field,N
733985,0,Delhi Daredevils,bat,N
733987,0,Chennai Super Kings,field,N
733989,0,Rajasthan Royals,field,N
733991,0,Royal Challengers Bangalore,field,N
733993,0,Sunrisers Hyderabad,field,N
733995,0,Chennai Super Kings,field,N
733997,0,Kolkata Knight Riders,field,N
733999,0,Royal Challengers Bangalore,bat,N
734001,0,Sunrisers Hyderabad,bat,N
734003,0,Rajasthan Royals,bat,N
734005,0,Delhi Daredevils,field,N
734007,0,Kings XI Punjab,field,N
734009,0,Kolkata Knight Riders,field,N
734011,0,Delhi Daredevils,field,N
734013,0,Chennai Super Kings,bat,N
734015,0,Sunrisers Hyderabad,bat,N
734017,0,Mumbai Indians,bat,N
734019,0,Kings XI Punjab,field,N
734021,0,Royal Challengers Bangalore,bat,N
734023,0,Kolkata Knight Riders,field,N
734025,0,Mumbai Indians,field,N
734027,0,Royal Challengers Bangalore,field,N
734029,0,Sunrisers Hyderabad,field,N
734031,0,Delhi Daredevils,field,N
734033,0,Rajasthan Royals,field,N
734035,0,Chennai Super Kings,field,N
734037,0,Kolkata Knight Riders,field,N
734039,0,Kings XI Punjab,field,N
734041,0,Mumbai Indians,field,N
734043,0,Kings XI Punjab,field,N
734045,0,Chennai Super Kings,field,N
734047,0,Chennai Super Kings,field,N
734049,0,Kolkata Knight Riders,field,N
829705,0,Kolkata Knight Riders,field,N
829707,0,Delhi Daredevils,field,N
829709,0,Kings XI Punjab,field,N
829711,0,Chennai Super Kings,bat,N
829713,0,Royal Challengers Bangalore,field,N
829715,0,Rajasthan Royals,field,N
829717,0,Mumbai Indians,field,N
829719,0,Sunrisers Hyderabad,field,N
829721,0,Mumbai Indians,bat,N
829723,0,Kolkata Knight Riders,field,N
829725,0,Kings XI Punjab,bat,N
829727,0,Rajasthan Royals,field,N
829729,0,Mumbai Indians,bat,N
829731,0,Delhi Daredevils,bat,N
829733,0,Kolkata Knight Riders,field,N
829735,0,Chennai Super Kings,bat,N
829737,0,Royal Challengers Bangalore,field,N
829739,0,Kolkata Knight Riders,field,N
829741,0,Kings XI Punjab,field,Y
829743,0,Kolkata Knight Riders,field,N
829745,0,Royal Challengers Bangalore,field,N
829747,0,Mumbai Indians,field,N
829749,0,Royal Challengers Bangalore,field,N
829751,0,Mumbai Indians,bat,N
829753,0,Chennai Super Kings,bat,N
829757,0,Royal Challengers Bangalore,field,N
829759,0,Kings XI Punjab,field,N
829761,0,Kolkata Knight Riders,bat,N
829763,0,Rajasthan Royals,field,NA
829765,0,Kolkata Knight Riders,field,N
829767,0,Delhi Daredevils,field,N
829769,0,Rajasthan Royals,field,N
829771,0,Royal Challengers Bangalore,field,N
829773,0,Chennai Super Kings,field,N
